Designator,Footprint,Quantity,Value,LCSC Part #
"5V, C1, C10, C13, C15, C16, C18, C2, C21, C23, C3, C4, C8",0402,13,0.1u,C1525
"C12, C14, C17, C19",0402,4,10u,C15525
"C20, C5, C6, C7, C9",0402,5,10n,C15195
D1,D_SOD-123,1,Schottky Diode,C8598
"D2, D4",0805,2,G,C2297
D3,0603,1,R,C2286
"GND_3, R26",0805,2,5.1K,C27834
"R19, R22, R23, R24, R25",0805,5,1K,C17513
"R20, R21",0402,2,5.1K,C25905
"R6, R7, R8, R9",0805,4,10K,C17414
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152
U2,SOT-223-3_TabPin2,1,AMS1117-1.2,C14529
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24C64B,C79988
U6,SOT-23-6-routable,1,SRV05-4,C85364
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,MPUOSC,C13738
