Designator,Mid X,Mid Y,Rotation,Layer
C1,171.14,-108.23,180.0,top
C10,153.8,-110.01,180.0,top
C12,154.77,-98.72,90.0,top
C13,154.48,-97.29,180.0,top
C14,154.93,-95.92,90.0,top
C15,151.305,-93.85,180.0,top
C16,158.68,-102.35,180.0,top
C17,170.01,-128.87,180.0,top
C18,164.66,-118.3,0.0,top
C19,165.12,-116.93,270.0,top
C2,162.98,-115.24,270.0,top
C20,158.68,-103.27,180.0,top
C21,169.25,-126.76,270.0,top
C23,159.775,-90.65,90.0,top
C24,172.375,-86.75,180.0,top
C3,153.53,-105.04,180.0,top
C4,162.73,-117.4,0.0,top
C5,168.42,-108.2,0.0,top
C6,162.05,-115.24,270.0,top
C7,153.53,-105.98,180.0,top
C8,165.07,-110.28,0.0,top
C9,153.78,-109.08,180.0,top
D1,166.88,-113.0,0.0,top
D2,148.3,-103.65,0.0,top
D3,164.03,-103.26,180.0,top
D4,167.35,-103.05,0.0,top
R19,148.23,-106.13,0.0,top
R20,166.31,-90.67,0.0,top
R21,162.75,-90.22,0.0,top
R22,149.88,-115.26,0.0,top
R23,168.39,-104.96,0.0,top
R24,170.83,-103.05,0.0,top
R25,161.57,-102.7,90.0,top
R26,154.47,-93.12,270.0,top
R27,147.71,-84.25,90.0,top
R6,158.525,-125.025,90.0,top
R7,155.89,-126.25,180.0,top
R8,158.525,-128.4,270.0,top
R9,167.2625,-123.925,180.0,top
U1,160.0,-110.0,90.0,top
U2,159.825,-97.3475,180.0,top
U3,169.18,-118.55,270.0,top
U4,164.125,-127.8,270.0,top
U5,166.9375,-94.84,180.0,top
X1,151.325,-96.05,180.0,top
